hard_text,profession,gender
"He has worked in a variety of industries including food, plastics, composites, maintenance parts and healthcare. Jim has a bachelor’s degree from Taylor University and a Master’s degree from Western Michigan University. As a financial consultant, Jim helps owners of small to mid-size businesses improve profitability and cash flow. Jim and his wife have three sons. Jim enjoys playing golf, snow skiing, riding bicycles and traveling.",0,0
"Two girls, both at the school. Chocolate lab, Lola. Mr Glaser enjoys music and drama. Faced with shipwreck on a desert island he would lunge for Sympathy for the Devil (Stones) and Sebastian Faulkes’ Engleby.",0,0
"He lives in the Old Country where swearing causes goblins to physically appear. There is so much bureaucracy that a union provides professional line waiters. Sloot is a patriot who despises the country just past the Old Country’s giant wall, Carpathia. What happens when he:
",0,0
"Prior to joining Redington Gulf FZE, he worked with KPMG in assurance service for over 3 years. He joined Redington Gulf in September 2000 and is currently responsible for the overall financial operations of Middle East and Africa.",0,0
"He currently resides in Easton, Maryland, where he has a part-time tax consulting practice. Cornel’s primary responsibilities on behalf of small business clients have included the satisfactory completion of accounting and tax compliance and planning, and the handling of inquiries from federal and state regulatory agencies. From association with SCORE since 2013, he is skilled in all phases of client business operations, including non-financial areas (especially sales and marketing). Cornel can be reached at clmhley@gmail.com.",0,0
"He has held senior positions at Noranda Inc., IA Sciences, Newcourt and PricewaterhouseCoopers and is currently Chief Financial Officer at metals producer Ivernia Inc. William McCrindle was a founding director and President (and subsequently VP) of Cumberland Resources Ltd. from October 1982 to June 2003 and President and director of Berland Resources Ltd. From October 1997 to June 2002.",0,0
"He worked at Ernst & Young, McKnight Johnson, and KPMG Chartered Accountants, where he currently works as a consultant. Mr. Holloway has extensive volunteer experience including, serving as President of the Institute of Chartered Accountants of BC; and serving on the boards of the City of Abbotsford Economic Development Commission, the Abbotsford Chamber of Commerce, and the Abbotsford Community Foundation. He is a graduate of Simon Fraser (BA); the Institute of Chartered Accountants of BC; the KPMG International Partner Program at the Wharton School, University of Pennsylvania; and the Institute of Corporate Directors Program for Not-For-Profit Organizations. Mr. Holloway is a member of the Commission's Audit Committee and Human Resources Committee.",0,0
Geoff commenced his business career with Peat Marwick Mitchell and Co. (now known as KPMG) in their audit division and spent nine years within that discipline including two years in overseas offices. Geoff spent a further two years as manager within their business services division before leaving to join Athans and Taylor Joondalup. Geoff is currently the managing partner of the Joondalup practice having successfully established the business in 1991.,0,0
"Rande has spent the last 25 years of his career primarily focused on business management in the technology arena with diverse companies in both commercial and military venues, in Aerospace, Software, Integrated Circuit design and manufacturing fields. In 2009, he joined Code-Monkeys as President and CEO.",0,0
"He has 37 years of comprehensive tax, accounting and audit experience including 27 years as a general practitioner specializing in: •IRS Tax Problem Resolution •Individual and Business tax preparation and planning • Audit of small businesses • Advisory services to businesses. He was named in Texas Monthly September 2011 issue as one of Central Texas’ Top Wealth Manager. He writes numerous articles covering varies tax related issues in Austin.His company motto is: MAXIMIZE PROFIT,minimize taxes.",0,0
"He often writes about his personal experiences to help others learn more about this fascinating market. For reliable information, Creighton often consults the Barchart.com website, however he is not affiliated with this company in any way.Add A Comment: Name* E-mail* Comment* Send",0,0
"He is a Consultant with Marketing & Consultant Services, Inc., with offices at 2014 W. 13th, Wichita, Kansas 67203. Widmer specializes in mergers, acquisitions and divestitures with particular emphasis on valuation of business enterprises for clients. Related activities include debt structuring and securing sources of financing. He also owns several successful small Kansas-based business operations.",0,0
"Larry co-founded Brownfield & Mayerhofer in 1998. During a 23-year period with Equity Office Properties Trust, he served as Vice President of Property Accounting, where his responsibilities included managing the escalation process for more than 12,000 tenants, 14,000 leases, and about 100 escalation audits annually.",0,0
"He joined Blue Pillar Company in April 2014. Before he joined BPCO he worked in the Airlines industry for 25 years his areas of expertise includes , among other things, procurement of aircraft spare parts and supplies, budget analysis, strategic and operational resource planning and management, corporate management policy design and development. Yilkal has a Master of Business Administration degree from Open University (United Kingdom), a bachelor degree in management science as well as a diploma in Bookkeeping from Pen Foster. He holds a certificate in Database administration and data mining.",0,0
"He is previously Head of Forensic Services for PwC in Vancouver, Canada and Head/Director of Forensic Services at Protiviti in the United Arab Emirates. He has also held positions of Head of Internal Audit, Risk Management and Forensic Services for large public companies and has worked for the Big 4 accountancy firms including six years at Ernst & Young in South Africa and KPMG in the Caribbean region. His experience crosses the spectrum of forensic accounting, auditing, risk management, corporate governance and more. His career for the last 20 years has had a focus on forensic accounting, and fraud and corruption investigations.",0,0
"Byrne founded Byrne & Associates in 1992, an accounting firm with a client focus of Doctors and Dentists. In 2004, Byrne founded Galore Resources Inc., a gold mining exploration company as President and CFO. In 2006, he successfully took Galore public on the TSX Venture and has since been involved in raising over $10,000,000 in capital. In 2008, he was appointed Director and Chairman of the Audit committee of Commander Resources Ltd. Mr. Byrne is a shareholder of Fatigue Science and was appointed as director in 2009. Mr. Byrne’s extensive background in finance, accounting, public regulatory requirements, audit committees and raising capital is a key asset to the Fatigue Science team.",0,0
"As an author (Future Ready, Wiley 2010 and Little Book of Budgeting, Matador 2017) and management thinker he is regularly engaged as a public speaker, drawing on his years of experience at the leading edge of performance management thought and practice. Steve is also a Visiting Fellow with the Centre for Business Performance at Cranfield University and the founder of CatchBull Ltd, a provider of forecasting performance management software.",0,0
